text,is_question
"Здравствуйте, могу ли я вернуть билет? 5opka mellsher стинт 18.07 москва",1
"Добрый вечер 
Не вернули средства. Заявку оставлял более 2х недель назад 

Re: Re: Заказ № 88106970. Мы получили заявку на возврат билетов",1
"Добрый день, заболела, получила больничный. Хотела прикрепить к заявке на возврат, но причина указывается: по собственному желанию и прикрепить ничего не могу. Как указать причину болезнь и прикрепить больничный?",1
"Добрый день.
1 августа приобрела билет на первый день фестиваля Ласточка — 5 лет (https://lastochka.ticketscloud.org/)
27 августа, менее чем за 10 дней, анонсировали отмену выступления одного из хедлайнеров этого дня, группы Золотые зубы (https://vk.com/wall-126958973_1749)

хочу вернуть билет с возвратом 100% средств
в форме для оформления возврата среди причин в принципе нет варианта, связанного с внесением серьезных изменений в программу фестиваля

как поступить в этом случае?",1
"Максимум 10 дней на возврат, Вы сами заведомо лжете потребителю. Потому что денежные средства Вы не отправляете. Что Роспотребнадзор и ФНС думает насчет такого заработка?",1
"Здравствуйте, я купил два билета на концерт группы Дайте танк на 27.09.2025 в Москве. Мы едем из другого города и, к сожалению, у нас получаются несостыковки с поездами. Могу ли я поменять билеты на пятницу 26.09.2025?",1
"Добрый день. Я оформил 8 августа 2 заявки на возврат по заказам № 83803143 и № 82802811. Прошло уже более 10 дней - не получил ни возврат средств, ни даже ваш ответ - когда могу ожидать?",1
"Здравствуйте, заявка на возврат 82521387
Буду ждать ответа)",1
Возврат билетов нужен,1
"Здравствуйте, я оформляла возврат 2 билетов на бои АСА 15 августа, но деньги так и не поступили",1
"Здравствуйте!
Как проверить статус своей заявки по возврату билетов на Сигнал ?",1
"Здравствуйте 
Никакого письма так и не было
Деньги не вернули никому, поэтому о чем я должна писать, совершать какие-то лишние телодвижения ?
Я думаю вы итак в курсе ситуации, дайте пожалуйста ответ",1
"Что вы хотите проверить?
Сигнал отменили
Деньги не возвращают никому 
Что происходит просто скажите и всё",1
